UserID,Timestamp,Accuracy
6420063,2024-10-05 05:10:27.903850+00:00,57.47%
6420063,2024-10-05 05:10:28.088857+00:00,57.52%
6420063,2024-10-05 05:10:28.275015+00:00,55.05%
6420063,2024-10-05 05:10:28.460789+00:00,49.57%
6420063,2024-10-05 05:10:28.647009+00:00,52.57%
6420063,2024-10-05 05:10:28.831593+00:00,54.89%
6420063,2024-10-05 05:10:29.017752+00:00,52.63%
6420063,2024-10-05 05:10:29.203125+00:00,52.04%
6420063,2024-10-05 05:10:29.389665+00:00,51.86%
6420063,2024-10-05 05:10:29.573805+00:00,48.52%
6420063,2024-10-05 05:10:29.759495+00:00,46.85%
6420063,2024-10-05 05:10:29.944056+00:00,48.87%
6420063,2024-10-05 05:10:30.129662+00:00,47.41%
6420063,2024-10-05 05:10:30.315057+00:00,47.88%
6420063,2024-10-05 05:10:30.502136+00:00,48.22%
6420063,2024-10-05 05:10:30.687683+00:00,49.93%
6420063,2024-10-05 05:10:30.871926+00:00,47.96%
6420063,2024-10-05 05:10:31.057510+00:00,42.83%
6420063,2024-10-05 05:10:31.244624+00:00,42.84%
6420063,2024-10-05 05:10:31.434129+00:00,54.87%
6420063,2024-10-05 05:10:31.619729+00:00,57.61%
6420063,2024-10-05 05:10:31.806837+00:00,57.58%
6420063,2024-10-05 05:10:31.992782+00:00,56.75%
6420063,2024-10-05 05:10:32.179711+00:00,56.83%
6420063,2024-10-05 05:10:32.364685+00:00,55.97%
6420063,2024-10-05 05:10:32.550682+00:00,53.42%
6420063,2024-10-05 05:10:32.737316+00:00,57.48%
6420063,2024-10-05 05:10:32.924017+00:00,58.42%
6420063,2024-10-05 05:10:33.108571+00:00,59.65%
6420063,2024-10-05 05:10:33.295106+00:00,63.94%
6420063,2024-10-05 05:10:33.481612+00:00,66.36%
6420063,2024-10-05 05:10:33.668020+00:00,64.12%
6420063,2024-10-05 05:10:33.854143+00:00,61.55%
6420063,2024-10-05 05:10:34.040328+00:00,64.83%
6420063,2024-10-05 05:10:34.225640+00:00,62.27%
6420063,2024-10-05 05:10:34.410641+00:00,61.87%
6420063,2024-10-05 05:10:34.596458+00:00,60.57%
6420063,2024-10-05 05:10:34.782110+00:00,62.06%
6420063,2024-10-05 05:10:34.966862+00:00,64.55%
6420063,2024-10-05 05:10:35.153629+00:00,66.27%
6420063,2024-10-05 05:10:35.340015+00:00,59.47%
6420063,2024-10-05 05:10:35.524856+00:00,58.98%
6420063,2024-10-05 05:10:35.710092+00:00,59.68%
6420063,2024-10-05 05:10:35.895748+00:00,59.36%
6420063,2024-10-05 05:10:37.645948+00:00,53.19%
6420063,2024-10-05 05:10:37.831545+00:00,59.24%
